









Frequency of observations in the selected location(s).:
Number of taxa: 	451

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Plaintive Cuckoo (<em class="sci">Cacomantis merulinus</em>)	0.0544218	0.0994475	0.0730337	0.0581818	0.106599	0.0707071	0.0650888	0.036036	0.0769231	0.1115108	0.0696517	0.0493827	0.0358744	0.0683761	0.05	0.0775194	0.038961	0.0681818	0.075	0.0194175	0.030303	0.0	0.0612245	0.0	0.0	0.0015	0.0909091	0.0681818	0.0	0.0	0.0	0.0	0.1111111	0.0689655	0.0	0.015625	0.0	0.0526316	0.0	0.028169	0.0	0.0105263	0.0015	0.0425532	0.020202	0.0429448	0.0419162	0.057554	
Square-tailed Drongo-Cuckoo (<em class="sci">Surniculus lugubris</em>)	0.2040816	0.2375691	0.1685393	0.2072727	0.1675127	0.1414141	0.0532544	0.0630631	0.0739645	0.0755396	0.0447761	0.0277778	0.0089686	0.008547	0.025	0.0465116	0.038961	0.0530303	0.05	0.0097087	0.030303	0.0	0.0816327	0.0	0.0	0.0	0.0454545	0.0	0.25	0.047619	0.0	0.0015	0.1111111	0.0344828	0.0	0.21875	0.0	0.0350877	0.025	0.1408451	0.1320755	0.0631579	0.0875912	0.1808511	0.2222222	0.1779141	0.1017964	0.147482	
Large Hawk-Cuckoo (<em class="sci">Hierococcyx sparverioides</em>)	0.0136054	0.0165746	0.011236	0.0036364	0.0	0.0050505	0.0236686	0.0	0.0118343	0.0143885	0.0248756	0.0015	0.0044843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0175439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006135	0.0	0.0107914	
Hodgson's Hawk-Cuckoo (<em class="sci">Hierococcyx nisicolor</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0059172	0.0	0.0	0.0123457	0.0044843	0.0	0.0015	0.0	0.0	0.0075758	0.0125	0.0097087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0769231	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Indian Cuckoo (<em class="sci">Cuculus micropterus</em>)	0.0	0.0110497	0.0168539	0.0145455	0.0406091	0.030303	0.035503	0.0315315	0.0295858	0.0107914	0.0199005	0.0154321	0.0179372	0.017094	0.0	0.0310078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.015625	0.0	0.0	0.0	0.0422535	0.0188679	0.0210526	0.0015	0.0106383	0.010101	0.0	0.0	0.0035971	
Common Cuckoo (<em class="sci">Cuculus canorus</em>)	0.0	0.0	0.0	0.0	0.0101523	0.0	0.0	0.0015	0.0	0.0	0.0	0.0030864	0.0	0.0	0.0	0.0	0.0	0.0075758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Himalayan/Oriental Cuckoo (<em class="sci">Cuculus saturatus/optatus</em>)	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cuculus sp. (<em class="sci">Cuculus sp.</em>)	0.0	0.0	0.0	0.0	0.0050761	0.0	0.0177515	0.0	0.0	0.0	0.0	0.0030864	0.0044843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Great Eared-Nightjar (<em class="sci">Lyncornis macrotis</em>)	0.1904762	0.1933702	0.1685393	0.16	0.2233503	0.2929293	0.260355	0.1756757	0.2366864	0.2014388	0.2139303	0.1759259	0.1121076	0.1709402	0.1	0.1395349	0.0779221	0.0606061	0.075	0.0679612	0.0909091	0.0740741	0.0816327	0.1025641	0.0740741	0.0909091	0.1363636	0.0227273	0.0	0.0	0.0	0.0015	0.1111111	0.137931	0.125	0.046875	0.1935484	0.1403509	0.1	0.2816901	0.0754717	0.1684211	0.1240876	0.1914894	0.2222222	0.3067485	0.1317365	0.2122302	
Grey Nightjar (<em class="sci">Caprimulgus jotaka</em>)	0.0136054	0.0	0.0	0.0	0.0015	0.0050505	0.0059172	0.0045045	0.0059172	0.0035971	0.0049751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005988	0.0	
Large-tailed Nightjar (<em class="sci">Caprimulgus macrurus</em>)	0.0748299	0.0552486	0.0393258	0.0545455	0.106599	0.0858586	0.147929	0.045045	0.112426	0.0611511	0.0945274	0.0555556	0.0313901	0.0598291	0.05	0.0387597	0.0	0.0227273	0.0125	0.038835	0.030303	0.037037	0.0204082	0.025641	0.037037	0.0	0.0454545	0.0227273	0.25	0.047619	0.25	0.0	0.0	0.1034483	0.0	0.0015	0.0967742	0.0701754	0.025	0.0704225	0.0943396	0.0526316	0.0291971	0.0638298	0.0707071	0.0736196	0.0479042	0.0755396	
Caprimulgus sp. (<em class="sci">Caprimulgus sp.</em>)	0.0068027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0188679	0.0	0.0	0.0106383	0.0	0.006135	0.0	0.0035971	
nightjar sp. (<em class="sci">Caprimulgidae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0029586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0140845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blyth's Frogmouth (<em class="sci">Batrachostomus affinis</em>)	0.0136054	0.0220994	0.005618	0.0218182	0.035533	0.020202	0.035503	0.009009	0.0177515	0.0015	0.0015	0.0061728	0.0089686	0.017094	0.0	0.0	0.0015	0.0151515	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0526316	0.0	0.028169	0.0188679	0.0105263	0.0072993	0.0425532	0.020202	0.0122699	0.0179641	0.0107914	
frogmouth sp. (<em class="sci">Podargidae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0075758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Silver-backed Needletail (<em class="sci">Hirundapus cochinchinensis</em>)	0.0340136	0.0276243	0.0015	0.0072727	0.0609137	0.0353535	0.0591716	0.0585586	0.0798817	0.0539568	0.0995025	0.095679	0.0717489	0.0769231	0.05	0.0697674	0.012987	0.0757576	0.1875	0.0679612	0.1212121	0.0015	0.0204082	0.0015	0.0	0.0909091	0.0454545	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0422535	0.0188679	0.0105263	0.0072993	0.0319149	0.010101	0.0122699	0.005988	0.0215827	
Brown-backed Needletail (<em class="sci">Hirundapus giganteus</em>)	0.0	0.0055249	0.0224719	0.0072727	0.0152284	0.0252525	0.0473373	0.0225225	0.0325444	0.0647482	0.0497512	0.037037	0.0358744	0.017094	0.025	0.0542636	0.025974	0.030303	0.025	0.0194175	0.0	0.0740741	0.0408163	0.025641	0.037037	0.0454545	0.0454545	0.0227273	0.0	0.0	0.0	0.0	0.1111111	0.0	0.0	0.078125	0.0	0.0175439	0.025	0.0140845	0.0188679	0.0	0.0072993	0.0	0.0505051	0.0122699	0.0	0.0323741	
needletail sp. (<em class="sci">Hirundapus sp.</em>)	0.0	0.0	0.0	0.0036364	0.0	0.0	0.0	0.0	0.0059172	0.0035971	0.0149254	0.0	0.0	0.0	0.0125	0.0	0.012987	0.0075758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0227273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015625	0.0	0.0350877	0.0	0.0	0.0	0.0015	0.0145985	0.0	0.020202	0.006135	0.005988	0.0015	
Himalayan Swiftlet (<em class="sci">Aerodramus brevirostris</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035971	
White-nest Swiftlet (<em class="sci">Aerodramus fuciphagus</em>)	0.4081633	0.4198895	0.4719101	0.3963636	0.4365482	0.3282828	0.4260355	0.3198198	0.3786982	0.3884892	0.278607	0.4104938	0.2780269	0.2649573	0.1375	0.3178295	0.2987013	0.3560606	0.2625	0.184466	0.2727273	0.2962963	0.3469388	0.3076923	0.1851852	0.2727273	0.4090909	0.1818182	0.25	0.1428571	0.25	0.2307692	0.5555556	0.1724138	0.25	0.375	0.3225806	0.3859649	0.475	0.4366197	0.3018868	0.3368421	0.3065693	0.3723404	0.5050505	0.4539877	0.3652695	0.3417266	
dark swiftlet sp. (<em class="sci">Aerodramus sp.</em>)	0.0068027	0.0	0.0337079	0.0109091	0.0	0.0151515	0.0118343	0.009009	0.0118343	0.0	0.0	0.0030864	0.0044843	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0505051	0.0245399	0.0	0.0071942	
swiftlet sp. (<em class="sci">Collocalia/Aerodramus sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0151515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005988	0.0	
Pacific Swift (<em class="sci">Apus pacificus</em>)	0.0068027	0.0055249	0.005618	0.0	0.0050761	0.0	0.0	0.027027	0.0	0.0	0.0199005	0.0308642	0.0	0.0	0.0	0.0077519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0227273	0.0	0.0	0.0	0.0	0.0	0.0344828	0.0	0.0	0.0	0.0175439	0.0	0.0140845	0.0015	0.0105263	0.0291971	0.0106383	0.020202	0.0	0.0015	0.0035971	
Pacific/Cook's Swift (<em class="sci">Apus pacificus/cooki</em>)	0.0	0.0	0.005618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0049751	0.0030864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
fork-tailed swift sp. (<em class="sci">Apus pacificus/salimalii/leuconyx/cooki</em>)	0.0	0.0	0.005618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.005988	0.0	
House Swift (<em class="sci">Apus nipalensis</em>)	0.0204082	0.0110497	0.005618	0.0	0.0101523	0.0050505	0.0118343	0.0225225	0.0029586	0.0107914	0.0248756	0.0185185	0.0089686	0.025641	0.0015	0.0077519	0.0	0.0075758	0.0	0.0	0.0	0.0	0.0816327	0.0	0.037037	0.0	0.0015	0.0681818	0.25	0.0952381	0.0	0.0015	0.0	0.0	0.125	0.0	0.0	0.0	0.075	0.0704225	0.0377358	0.0105263	0.0218978	0.0212766	0.0	0.0122699	0.011976	0.0143885	
Apus/Tachymarptis sp. (<em class="sci">Apus/Tachymarptis sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0049751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Asian Palm Swift (<em class="sci">Cypsiurus balasiensis</em>)	0.1768707	0.1104972	0.1516854	0.1381818	0.1878173	0.0808081	0.1301775	0.1081081	0.1597633	0.205036	0.1044776	0.117284	0.0717489	0.0512821	0.0875	0.0465116	0.1168831	0.1287879	0.125	0.0679612	0.0	0.0740741	0.122449	0.1025641	0.1111111	0.0909091	0.0454545	0.0681818	0.0	0.0015	0.0015	0.1538462	0.0	0.1724138	0.0	0.0625	0.0	0.122807	0.15	0.2112676	0.1320755	0.1789474	0.1094891	0.0851064	0.1111111	0.1779141	0.0958084	0.1726619	
swift sp. (<em class="sci">Apodidae sp.</em>)	0.0	0.0	0.0	0.0109091	0.0101523	0.020202	0.0118343	0.0	0.0029586	0.0035971	0.0049751	0.0	0.0	0.0	0.0	0.0155039	0.0	0.0	0.0	0.0	0.0	0.037037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0188679	0.0	0.0072993	0.0106383	0.0	0.0	0.011976	0.0107914	
Crested Treeswift (<em class="sci">Hemiprocne coronata</em>)	0.0	0.0	0.0	0.0	0.0	0.0050505	0.0236686	0.018018	0.0029586	0.0035971	0.0	0.0	0.0089686	0.0015	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.037037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0140845	0.0	0.0	0.0	0.0106383	0.0	0.0	0.005988	0.0071942	
Slaty-breasted Rail (<em class="sci">Lewinia striata</em>)	0.0	0.0	0.0	0.0	0.0050761	0.0	0.0059172	0.0	0.0	0.0035971	0.0049751	0.0015	0.0	0.0	0.0	0.0	0.0	0.0075758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0105263	0.0	0.0	0.0015	0.0	0.0	0.0	
Eurasian Moorhen (<em class="sci">Gallinula chloropus</em>)	0.0015	0.0110497	0.005618	0.0072727	0.0101523	0.0015	0.0	0.0135135	0.0029586	0.0015	0.0099502	0.0061728	0.0089686	0.008547	0.0	0.0015	0.0	0.0151515	0.0125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0140845	0.0	0.0	0.0072993	0.0	0.010101	0.0	0.011976	0.0143885	
Grey-headed Swamphen (<em class="sci">Porphyrio poliocephalus</em>)	0.0680272	0.0718232	0.0505618	0.0472727	0.0558376	0.0555556	0.0414201	0.0675676	0.0443787	0.0323741	0.0646766	0.0432099	0.044843	0.042735	0.0625	0.0542636	0.025974	0.0378788	0.1625	0.184466	0.1515152	0.0740741	0.122449	0.0	0.0740741	0.0909091	0.0454545	0.0227273	0.0	0.0952381	0.0	0.0769231	0.0	0.0689655	0.125	0.015625	0.0	0.0350877	0.1	0.0140845	0.0	0.0631579	0.0291971	0.0212766	0.0808081	0.0613497	0.0658683	0.0791367	
White-browed Crake (<em class="sci">Poliolimnas cinereus</em>)	0.0015	0.0220994	0.0168539	0.0109091	0.0152284	0.0151515	0.0059172	0.018018	0.0295858	0.0071942	0.0199005	0.0123457	0.0044843	0.017094	0.0	0.0	0.0	0.0	0.0625	0.0097087	0.0	0.0015	0.0204082	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0175439	0.025	0.0	0.0	0.0105263	0.0291971	0.0106383	0.020202	0.0122699	0.005988	0.0107914	
Watercock (<em class="sci">Gallicrex cinerea</em>)	0.0	0.0	0.011236	0.0	0.0050761	0.0050505	0.0	0.0045045	0.0029586	0.0035971	0.0	0.0015	0.0	0.0	0.0	0.0077519	0.012987	0.0075758	0.0125	0.0194175	0.030303	0.037037	0.0408163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0072993	0.0106383	0.0015	0.0	0.0015	0.0143885	
White-breasted Waterhen (<em class="sci">Amaurornis phoenicurus</em>)	0.0544218	0.0662983	0.0786517	0.0327273	0.0507614	0.0656566	0.0828402	0.0585586	0.0621302	0.0395683	0.0945274	0.0895062	0.0807175	0.034188	0.05	0.0697674	0.0519481	0.0378788	0.1625	0.1941748	0.0909091	0.1111111	0.0612245	0.025641	0.037037	0.0909091	0.0454545	0.0454545	0.0	0.047619	0.0	0.0	0.0	0.0	0.125	0.0	0.0645161	0.0701754	0.05	0.0422535	0.0377358	0.0421053	0.0510949	0.0851064	0.1010101	0.0490798	0.0718563	0.1007194	
Red-legged Crake (<em class="sci">Rallina fasciata</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0375	0.0097087	0.0	0.037037	0.0015	0.0	0.0	0.0454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0072993	0.0212766	0.0	0.0015	0.0	0.0035971	
Slaty-legged Crake (<em class="sci">Rallina eurizonoides</em>)	0.0408163	0.0718232	0.0786517	0.0581818	0.0406091	0.040404	0.0236686	0.0675676	0.0769231	0.0719424	0.0348259	0.0401235	0.0358744	0.017094	0.0	0.0	0.0	0.0	0.0	0.0097087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028169	0.0	0.0210526	0.0364964	0.0531915	0.040404	0.0368098	0.0419162	0.057554	
Rallina sp. (<em class="sci">Rallina sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035971	
Ruddy-breasted Crake (<em class="sci">Zapornia fusca</em>)	0.0015	0.0	0.0	0.0	0.0	0.020202	0.0177515	0.0	0.0029586	0.0015	0.0015	0.0030864	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.037037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0322581	0.0	0.0	0.0	0.0188679	0.0	0.0072993	0.0106383	0.0	0.0	0.0	0.0035971	
Baillon's Crake (<em class="sci">Zapornia pusilla</em>)	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
rail/crake sp. (<em class="sci">Rallidae sp. (rail/crake sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0140845	0.0	0.0	0.0	0.0212766	0.0	0.0	0.0	0.0	
Eurasian Black-winged Stilt (<em class="sci">Himantopus himantopus</em>)	0.0068027	0.0055249	0.005618	0.0015	0.0	0.0	0.0118343	0.0	0.0029586	0.0035971	0.0	0.0030864	0.0	0.008547	0.0015	0.0	0.0	0.0075758	0.0125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011976	0.0035971	
Little Ringed Plover (<em class="sci">Thinornis dubius</em>)	0.0068027	0.0	0.0224719	0.0	0.0101523	0.0050505	0.0118343	0.0015	0.0059172	0.0107914	0.0015	0.0061728	0.0044843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.006135	0.005988	0.0323741	
Grey-headed Lapwing (<em class="sci">Vanellus cinereus</em>)	0.0068027	0.0055249	0.0224719	0.0015	0.0	0.0	0.0059172	0.0045045	0.0029586	0.0	0.0049751	0.0015	0.0044843	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0210526	0.0072993	0.0015	0.010101	0.0306748	0.011976	0.0071942	
Red-wattled Lapwing (<em class="sci">Vanellus indicus</em>)	0.170068	0.1325967	0.1741573	0.1527273	0.1624365	0.1161616	0.183432	0.1261261	0.1745562	0.1330935	0.1243781	0.1388889	0.103139	0.0598291	0.075	0.1007752	0.0519481	0.1439394	0.1625	0.1165049	0.1212121	0.1481481	0.0816327	0.0512821	0.0740741	0.0454545	0.1363636	0.1590909	0.25	0.1428571	0.0	0.0769231	0.1111111	0.137931	0.0	0.09375	0.1290323	0.1052632	0.15	0.1690141	0.1509434	0.1473684	0.1240876	0.1595745	0.2020202	0.1288344	0.1796407	0.1654676	
plover sp. (<em class="sci">Charadriidae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0035971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater Painted-snipe (<em class="sci">Rostratula benghalensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035971	0.0	0.0	0.0044843	0.0	0.0015	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pheasant-tailed Jacana (<em class="sci">Hydrophasianus chirurgus</em>)	0.0136054	0.0110497	0.0015	0.0072727	0.0050761	0.010101	0.0	0.009009	0.0029586	0.0035971	0.0049751	0.0030864	0.0015	0.008547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0188679	0.0105263	0.0072993	0.0	0.0015	0.006135	0.0	0.0215827	
Bronze-winged Jacana (<em class="sci">Metopidius indicus</em>)	0.0612245	0.0662983	0.0617978	0.0509091	0.0456853	0.0505051	0.035503	0.0630631	0.0443787	0.0323741	0.0646766	0.0493827	0.0403587	0.0512821	0.0375	0.0620155	0.025974	0.0454545	0.1625	0.1650485	0.1212121	0.0740741	0.122449	0.0	0.0740741	0.0909091	0.0454545	0.0227273	0.25	0.0952381	0.25	0.0015	0.0	0.0689655	0.0625	0.015625	0.0	0.0175439	0.05	0.0140845	0.0188679	0.0526316	0.0583942	0.0425532	0.0707071	0.0797546	0.0838323	0.0899281	
Pin-tailed Snipe (<em class="sci">Gallinago stenura</em>)	0.0068027	0.0	0.005618	0.0	0.0050761	0.0	0.0	0.0045045	0.0059172	0.0107914	0.0	0.0030864	0.0	0.0	0.0	0.0077519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.122807	0.075	0.028169	0.0	0.0421053	0.0291971	0.0425532	0.020202	0.006135	0.005988	0.0143885	
Common Snipe (<em class="sci">Gallinago gallinago</em>)	0.0015	0.0	0.011236	0.0	0.0101523	0.0050505	0.0059172	0.0	0.0059172	0.0107914	0.0149254	0.0030864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0188679	0.0	0.0	0.0	0.010101	0.0	0.0015	0.0359712	
snipe sp. (<em class="sci">Gallinago sp.</em>)	0.0068027	0.0	0.005618	0.0	0.0	0.0	0.0	0.0	0.0029586	0.0035971	0.0	0.0	0.0044843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0175439	0.0	0.0	0.0	0.0	0.0072993	0.0	0.0	0.0	0.0	0.0035971	
Common Sandpiper (<em class="sci">Actitis hypoleucos</em>)	0.0272109	0.0331492	0.0393258	0.0218182	0.0659898	0.040404	0.0473373	0.027027	0.0266272	0.0251799	0.0298507	0.0185185	0.0313901	0.0015	0.0125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0769231	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0422535	0.0188679	0.0210526	0.0437956	0.0106383	0.0909091	0.0797546	0.0538922	0.0719424	
