









Frequency of observations in the selected location(s).:
Number of taxa: 	451

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Red Junglefowl (<em class="sci">Gallus gallus</em>)	0.2993197	0.2872928	0.3258427	0.3054545	0.3451777	0.2979798	0.4497041	0.3333333	0.3431953	0.4208633	0.3631841	0.3765432	0.3183857	0.2991453	0.3	0.3255814	0.2077922	0.2424242	0.1875	0.2524272	0.3333333	0.2222222	0.1020408	0.0769231	0.1851852	0.3636364	0.1363636	0.1363636	0.25	0.1904762	0.5	0.2307692	0.1111111	0.1034483	0.1875	0.046875	0.1612903	0.1754386	0.2	0.1971831	0.1698113	0.1789474	0.1386861	0.2234043	0.2020202	0.2883436	0.2934132	0.2553957	
Chinese Francolin (<em class="sci">Francolinus pintadeanus</em>)	0.0340136	0.038674	0.0337079	0.0472727	0.0406091	0.0050505	0.035503	0.0405405	0.0266272	0.0503597	0.0447761	0.0617284	0.058296	0.0512821	0.05	0.0542636	0.012987	0.0075758	0.025	0.0291262	0.030303	0.0	0.0408163	0.025641	0.0	0.1363636	0.0	0.0	0.0	0.0952381	0.0	0.0015	0.0	0.0344828	0.0	0.015625	0.0645161	0.0350877	0.025	0.028169	0.0	0.0210526	0.0072993	0.0638298	0.020202	0.0245399	0.011976	0.0395683	
King Quail (<em class="sci">Synoicus chinensis</em>)	0.0015	0.0	0.005618	0.0	0.0050761	0.0015	0.0	0.0045045	0.0029586	0.0015	0.0	0.0154321	0.0044843	0.008547	0.0	0.0077519	0.0	0.0	0.0	0.0097087	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035971	
Rock Dove (<em class="sci">Columba livia</em>)	0.0	0.0055249	0.0168539	0.0	0.0203046	0.0151515	0.0414201	0.0135135	0.0029586	0.0107914	0.0149254	0.0030864	0.0044843	0.0	0.0	0.0155039	0.0	0.0075758	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0454545	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0322581	0.0	0.0	0.0140845	0.0	0.0210526	0.0	0.0	0.010101	0.0122699	0.005988	0.0215827	
Oriental Turtle-Dove (<em class="sci">Streptopelia orientalis</em>)	0.0068027	0.0055249	0.0	0.0072727	0.0152284	0.0	0.0	0.0	0.0029586	0.0035971	0.0049751	0.0092593	0.0	0.0	0.0	0.0	0.012987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0105263	0.0	0.0	0.020202	0.006135	0.005988	0.0107914	
Red Collared-Dove (<em class="sci">Streptopelia tranquebarica</em>)	0.1768707	0.2099448	0.2191011	0.2181818	0.2538071	0.1868687	0.2544379	0.2522523	0.2337278	0.2194245	0.1940299	0.2160494	0.1479821	0.1111111	0.075	0.1627907	0.0649351	0.1666667	0.2375	0.1359223	0.1818182	0.1851852	0.1836735	0.025641	0.1481481	0.2727273	0.3636364	0.2045455	0.0	0.1428571	0.0	0.0	0.1111111	0.1034483	0.0625	0.15625	0.1290323	0.1403509	0.1	0.1971831	0.1886792	0.2842105	0.1459854	0.2234043	0.1919192	0.190184	0.245509	0.2086331	
Streptopelia sp. (<em class="sci">Streptopelia sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010101	0.0	0.0	0.0	
Spotted Dove (<em class="sci">Spilopelia chinensis</em>)	0.1904762	0.1712707	0.1966292	0.2	0.1979695	0.2020202	0.2130178	0.1576577	0.2278107	0.2122302	0.1840796	0.1697531	0.1434978	0.0940171	0.1125	0.1007752	0.0779221	0.1742424	0.1625	0.1941748	0.3030303	0.1481481	0.1428571	0.1025641	0.1851852	0.2727273	0.2727273	0.2272727	0.5	0.0952381	0.0	0.0769231	0.1111111	0.1034483	0.0625	0.046875	0.0645161	0.0701754	0.175	0.1830986	0.1320755	0.1473684	0.1313869	0.2340426	0.2020202	0.1595092	0.1437126	0.1798561	
Barred Cuckoo-Dove (<em class="sci">Macropygia unchall</em>)	0.0	0.0	0.005618	0.0036364	0.0152284	0.0	0.0177515	0.0045045	0.0029586	0.0071942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0204082	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0105263	0.0	0.0	0.0	0.0	0.0	0.0107914	
Asian Emerald Dove (<em class="sci">Chalcophaps indica</em>)	0.1632653	0.1712707	0.1797753	0.1854545	0.1725888	0.1717172	0.183432	0.1711712	0.2366864	0.2410072	0.2089552	0.2283951	0.2331839	0.1623932	0.2	0.1317829	0.1168831	0.1893939	0.175	0.1165049	0.1818182	0.1111111	0.122449	0.1025641	0.1481481	0.1818182	0.2727273	0.1136364	0.0	0.1428571	0.0	0.0769231	0.2222222	0.137931	0.0	0.0	0.0645161	0.0877193	0.0	0.1830986	0.1320755	0.0947368	0.0656934	0.1170213	0.1414141	0.1411043	0.1317365	0.1438849	
Zebra Dove (<em class="sci">Geopelia striata</em>)	0.3469388	0.4696133	0.4044944	0.3854545	0.3248731	0.3383838	0.3550296	0.3288288	0.3964497	0.3561151	0.278607	0.3209877	0.2286996	0.2307692	0.1875	0.2093023	0.1948052	0.3106061	0.2	0.184466	0.2727273	0.0740741	0.2653061	0.3589744	0.2222222	0.2727273	0.4545455	0.2954545	0.75	0.2380952	0.5	0.1538462	0.4444444	0.4137931	0.6875	0.6875	0.4516129	0.5087719	0.475	0.4366197	0.4150943	0.2947368	0.270073	0.3829787	0.3333333	0.3435583	0.3113772	0.3309353	
Pink-necked Green-Pigeon (<em class="sci">Treron vernans</em>)	0.0204082	0.0055249	0.005618	0.0036364	0.0203046	0.010101	0.0236686	0.009009	0.0088757	0.0071942	0.0	0.0185185	0.0044843	0.0	0.0	0.0077519	0.0	0.0	0.0125	0.0	0.0015	0.037037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0769231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020202	0.0	0.0	0.0035971	
Orange-breasted Green-Pigeon (<em class="sci">Treron bicinctus</em>)	0.0612245	0.0497238	0.0786517	0.0290909	0.0964467	0.0555556	0.035503	0.0675676	0.1065089	0.0935252	0.039801	0.0740741	0.0493274	0.017094	0.025	0.0077519	0.0	0.030303	0.0	0.0097087	0.0015	0.037037	0.0	0.0	0.0	0.0	0.0	0.0227273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0140845	0.0	0.0210526	0.0	0.0106383	0.020202	0.006135	0.011976	0.0143885	
Ashy-headed Green-Pigeon (<em class="sci">Treron phayrei</em>)	0.0544218	0.0883978	0.1011236	0.1054545	0.1472081	0.0353535	0.1656805	0.0810811	0.1094675	0.1115108	0.1343284	0.1604938	0.1165919	0.1538462	0.05	0.0387597	0.012987	0.0454545	0.0125	0.0679612	0.0015	0.0	0.0816327	0.025641	0.0740741	0.0909091	0.0909091	0.0227273	0.0	0.047619	0.0	0.0	0.0	0.0344828	0.0625	0.015625	0.0	0.0350877	0.05	0.056338	0.0188679	0.0315789	0.0510949	0.0638298	0.030303	0.0368098	0.0538922	0.0719424	
Thick-billed Green-Pigeon (<em class="sci">Treron curvirostra</em>)	0.170068	0.2430939	0.2359551	0.28	0.3553299	0.3030303	0.2899408	0.2297297	0.2544379	0.2410072	0.3383085	0.2777778	0.2331839	0.2905983	0.2625	0.2170543	0.2337662	0.3257576	0.2375	0.2038835	0.2424242	0.0015	0.1632653	0.0769231	0.037037	0.1818182	0.4545455	0.0909091	0.5	0.1428571	0.0	0.2307692	0.1111111	0.1034483	0.0625	0.0015	0.0645161	0.0526316	0.075	0.0422535	0.1698113	0.1157895	0.1605839	0.1489362	0.2323232	0.2822086	0.1856287	0.1834532	
Yellow-footed Green-Pigeon (<em class="sci">Treron phoenicopterus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	
Yellow-vented Green-Pigeon (<em class="sci">Treron seimundi</em>)	0.0	0.0	0.0	0.0	0.0	0.010101	0.0	0.0	0.0	0.0	0.0	0.0030864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pin-tailed Green-Pigeon (<em class="sci">Treron apicauda</em>)	0.0	0.0015	0.011236	0.0	0.0	0.0	0.0	0.0045045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0188679	0.0	0.0	0.0	0.0	0.0	0.0015	0.0071942	
Wedge-tailed Green-Pigeon (<em class="sci">Treron sphenurus</em>)	0.0	0.0	0.0	0.0	0.0050761	0.0050505	0.0	0.0045045	0.0	0.0071942	0.0	0.0092593	0.0	0.0	0.0	0.0077519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006135	0.0	0.0035971	
green-pigeon sp. (<em class="sci">Treron sp.</em>)	0.0204082	0.0220994	0.0505618	0.0145455	0.0152284	0.0151515	0.0177515	0.009009	0.0147929	0.0179856	0.0	0.0246914	0.0089686	0.0	0.0125	0.0232558	0.0	0.0	0.0	0.0	0.030303	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015625	0.0	0.0	0.05	0.0140845	0.0	0.0105263	0.0145985	0.0	0.030303	0.0245399	0.0	0.0107914	
Green Imperial-Pigeon (<em class="sci">Ducula aenea</em>)	0.0612245	0.038674	0.0786517	0.0509091	0.0913706	0.0606061	0.1242604	0.0495495	0.0887574	0.1330935	0.1442786	0.1080247	0.0941704	0.034188	0.0625	0.0620155	0.012987	0.0454545	0.0375	0.1165049	0.030303	0.0740741	0.0612245	0.0	0.0	0.1363636	0.0909091	0.0454545	0.0	0.0	0.0	0.0	0.0	0.0344828	0.0	0.0	0.0015	0.0	0.0	0.084507	0.0566038	0.0526316	0.0583942	0.0851064	0.0808081	0.0613497	0.0778443	0.1007194	
Mountain Imperial-Pigeon (<em class="sci">Ducula badia</em>)	0.0	0.0	0.0015	0.0036364	0.0050761	0.0050505	0.0	0.0	0.0029586	0.0035971	0.0049751	0.0030864	0.0	0.008547	0.0125	0.0077519	0.0	0.0075758	0.0	0.0	0.0	0.037037	0.0204082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0140845	0.0	0.0210526	0.0	0.0	0.0	0.0	0.0	0.0107914	
imperial-pigeon sp. (<em class="sci">Ducula sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0049751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035971	
pigeon/dove sp. (<em class="sci">Columbidae sp.</em>)	0.0068027	0.0	0.0	0.0036364	0.0	0.0050505	0.0177515	0.018018	0.0	0.0035971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0075758	0.0	0.0	0.030303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0175439	0.0	0.0	0.0	0.0	0.0145985	0.0	0.010101	0.006135	0.0	0.0	
Greater Coucal (<em class="sci">Centropus sinensis</em>)	0.3265306	0.4033149	0.494382	0.3818182	0.4365482	0.3282828	0.4260355	0.4144144	0.4408284	0.4748201	0.4626866	0.4475309	0.4125561	0.3504274	0.375	0.4496124	0.3636364	0.4318182	0.4375	0.3786408	0.3636364	0.1851852	0.5306122	0.2820513	0.2222222	0.5909091	0.5909091	0.2954545	0.5	0.4285714	0.25	0.2307692	0.6666667	0.2758621	0.1875	0.234375	0.2903226	0.2105263	0.275	0.3239437	0.3207547	0.2631579	0.2335766	0.3297872	0.3838384	0.392638	0.2874251	0.3345324	
Lesser Coucal (<em class="sci">Centropus bengalensis</em>)	0.0884354	0.0773481	0.1123596	0.0690909	0.106599	0.1111111	0.112426	0.1036036	0.147929	0.1043165	0.0696517	0.1358025	0.0941704	0.0769231	0.0625	0.0852713	0.025974	0.0606061	0.075	0.1165049	0.1818182	0.1851852	0.2040816	0.0512821	0.1851852	0.1818182	0.2272727	0.1590909	0.5	0.1428571	0.0	0.0769231	0.1111111	0.1034483	0.0625	0.015625	0.0322581	0.0350877	0.1	0.056338	0.0566038	0.0947368	0.0875912	0.1276596	0.1616162	0.1104294	0.0838323	0.0827338	
Greater/Lesser Coucal (<em class="sci">Centropus sinensis/bengalensis</em>)	0.0	0.0	0.005618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
coucal sp. (<em class="sci">Centropus sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Green-billed Malkoha (<em class="sci">Phaenicophaeus tristis</em>)	0.2380952	0.2983425	0.3202247	0.28	0.284264	0.3787879	0.2662722	0.2387387	0.316568	0.3597122	0.318408	0.2962963	0.309417	0.2991453	0.3625	0.255814	0.2337662	0.3636364	0.3375	0.3300971	0.3636364	0.3333333	0.3265306	0.2051282	0.2222222	0.3181818	0.7272727	0.2272727	0.0	0.1428571	0.75	0.2307692	0.5555556	0.4482759	0.1875	0.28125	0.3870968	0.2280702	0.35	0.3380282	0.4528302	0.3052632	0.2919708	0.3723404	0.3636364	0.3435583	0.3053892	0.2482014	
Chestnut-winged Cuckoo (<em class="sci">Clamator coromandus</em>)	0.0015	0.0	0.011236	0.0181818	0.0203046	0.0151515	0.0414201	0.0225225	0.0177515	0.028777	0.0447761	0.0123457	0.0089686	0.0015	0.0	0.0232558	0.012987	0.0227273	0.0125	0.0097087	0.0	0.0	0.0408163	0.0	0.0	0.0	0.0909091	0.0015	0.0	0.0	0.5	0.0015	0.3333333	0.0344828	0.0	0.015625	0.0645161	0.0175439	0.05	0.028169	0.0188679	0.0210526	0.0072993	0.0212766	0.0	0.0245399	0.011976	0.0107914	
Asian Koel (<em class="sci">Eudynamys scolopaceus</em>)	0.0204082	0.0220994	0.0168539	0.0436364	0.0152284	0.030303	0.1242604	0.0720721	0.1331361	0.1402878	0.1094527	0.0617284	0.044843	0.042735	0.025	0.0852713	0.0649351	0.1363636	0.0375	0.0291262	0.0	0.0	0.0204082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0140845	0.0	0.0105263	0.0	0.0106383	0.020202	0.0184049	0.0015	0.0035971	
Asian Emerald Cuckoo (<em class="sci">Chrysococcyx maculatus</em>)	0.0068027	0.0	0.0168539	0.0109091	0.0101523	0.0050505	0.0015	0.009009	0.0207101	0.0035971	0.0099502	0.0	0.0	0.017094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0105263	0.0	0.0319149	0.0	0.0	0.005988	0.0107914	
Violet Cuckoo (<em class="sci">Chrysococcyx xanthorhynchus</em>)	0.0612245	0.0607735	0.0449438	0.0836364	0.1015228	0.0505051	0.112426	0.0900901	0.1153846	0.1258993	0.1542289	0.117284	0.1121076	0.0940171	0.1125	0.1472868	0.0909091	0.1287879	0.1	0.1262136	0.1212121	0.0740741	0.1632653	0.025641	0.1111111	0.0454545	0.1818182	0.1136364	0.0015	0.1428571	0.0	0.0	0.2222222	0.1724138	0.0	0.28125	0.0967742	0.1754386	0.275	0.1549296	0.1320755	0.0947368	0.1094891	0.1170213	0.0606061	0.0674847	0.0778443	0.057554	
Little Bronze-Cuckoo (<em class="sci">Chalcites minutillus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045045	0.0	0.0	0.0	0.0	0.0044843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Banded Bay Cuckoo (<em class="sci">Cacomantis sonneratii</em>)	0.0884354	0.0773481	0.0505618	0.0509091	0.1167513	0.0505051	0.1183432	0.0765766	0.112426	0.1366906	0.1094527	0.095679	0.0717489	0.017094	0.0375	0.0542636	0.1038961	0.0984848	0.075	0.038835	0.0606061	0.1111111	0.0408163	0.0	0.037037	0.0454545	0.0454545	0.0454545	0.5	0.047619	0.0	0.0	0.1111111	0.0344828	0.0	0.0	0.1935484	0.0350877	0.075	0.0985915	0.0943396	0.0526316	0.0656934	0.0851064	0.0909091	0.0613497	0.0838323	0.0467626	
