









Frequency of observations in the selected location(s).:
Number of taxa: 	123

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	10.0	10.0	6.0	4.0	5.0	4.0	8.0	5.0	5.0	6.0	5.0	9.0	6.0	7.0	9.0	12.0	7.0	5.0	6.0	14.0	8.0	5.0	3.0	8.0	3.0	7.0	4.0	7.0	2.0	3.0	4.0	7.0	6.0	7.0	4.0	8.0	5.0	4.0	6.0	9.0	6.0	11.0	8.0	5.0	13.0	9.0	5.0	9.0	

Musk Duck (<em class="sci">Biziura lobata</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brown Quail (<em class="sci">Synoicus ypsilophorus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Rock Dove (<em class="sci">Columba livia</em>)	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.1111111	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.3333333	0.25	0.0	0.1428571	0.25	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.0015	0.0769231	0.0	0.0	0.0	
Spotted Dove (<em class="sci">Spilopelia chinensis</em>)	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.2	0.0	0.125	0.0	0.1428571	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.0	0.125	0.2	0.0769231	0.0	0.0	0.0	
Common Bronzewing (<em class="sci">Phaps chalcoptera</em>)	0.3	0.4	0.6666667	0.25	0.4	0.25	0.625	0.0	0.0	0.5	0.4	0.1111111	0.1666667	0.1428571	0.3333333	0.25	0.5714286	0.2	0.3333333	0.2857143	0.5	0.4	0.3333333	0.25	0.3333333	0.5714286	0.5	0.5714286	0.0	0.0	0.5	0.5714286	0.5	0.4285714	0.25	0.5	0.2	0.25	0.5	0.1111111	0.8333333	0.5454545	0.375	0.6	0.6153846	0.6666667	0.2	0.1111111	
Brush Bronzewing (<em class="sci">Phaps elegans</em>)	0.3	0.0	0.1666667	0.0015	0.2	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333	0.0	0.0	0.3333333	0.1428571	0.0	0.0	0.3333333	0.25	0.0	0.0	0.0	0.1428571	0.0	0.3333333	0.25	0.1428571	0.1666667	0.2857143	0.25	0.0	0.0015	0.0	0.1666667	0.1111111	0.0	0.0909091	0.125	0.2	0.0	0.0	0.0	0.1111111	
Crested Pigeon (<em class="sci">Ocyphaps lophotes</em>)	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111	0.0	0.1428571	0.0	0.0833333	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.25	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.125	0.0015	0.0769231	0.0	0.2	0.0	
pigeon/dove sp. (<em class="sci">Columbidae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Horsfield's Bronze-Cuckoo (<em class="sci">Chalcites basalis</em>)	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.2857143	0.1666667	0.1428571	0.0	0.125	0.0	0.0015	0.0	0.0	0.1666667	0.0909091	0.0	0.0	0.0	0.0	0.0	0.0	
Shining Bronze-Cuckoo (<em class="sci">Chalcites lucidus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.1111111	0.1666667	0.2727273	0.0	0.2	0.2307692	0.2222222	0.0	0.0	
Pallid Cuckoo (<em class="sci">Heteroscenes pallidus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fan-tailed Cuckoo (<em class="sci">Cacomantis flabelliformis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333	0.5	0.4285714	0.5	0.2857143	0.25	0.5	0.0	0.25	0.3333333	0.3333333	0.1666667	0.1818182	0.25	0.0	0.3846154	0.1111111	0.0	0.0	
Tawny Frogmouth (<em class="sci">Podargus strigoides</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333	0.125	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.2857143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Australian Owlet-nightjar (<em class="sci">Aegotheles cristatus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dusky Moorhen (<em class="sci">Gallinula tenebrosa</em>)	0.1	0.1	0.1666667	0.0	0.0015	0.0	0.375	0.0	0.0	0.1666667	0.2	0.0	0.0	0.0	0.1111111	0.1666667	0.1428571	0.0	0.1666667	0.1428571	0.125	0.2	0.0	0.125	0.0	0.4285714	0.0	0.1428571	0.5	0.0	0.5	0.1428571	0.0	0.1428571	0.25	0.125	0.0	0.25	0.0	0.1111111	0.0	0.0909091	0.0	0.2	0.0769231	0.1111111	0.2	0.2222222	
