









Frequency of observations in the selected location(s).:
Number of taxa: 	279

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	64.0	29.0	30.0	53.0	39.0	37.0	36.0	34.0	20.0	22.0	27.0	49.0	31.0	37.0	47.0	41.0	40.0	33.0	19.0	35.0	42.0	32.0	34.0	41.0	21.0	36.0	34.0	22.0	23.0	22.0	22.0	54.0	43.0	41.0	38.0	48.0	82.0	48.0	69.0	107.0	45.0	49.0	31.0	27.0	20.0	35.0	23.0	81.0	

Blue-billed Duck (<em class="sci">Oxyura australis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0144928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Musk Duck (<em class="sci">Biziura lobata</em>)	0.0	0.0	0.0	0.0	0.0	0.027027	0.0277778	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0277778	0.0294118	0.0454545	0.0434783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0121951	0.0208333	0.0	0.0	0.0	0.0	0.0	0.037037	0.05	0.0	0.0434783	0.0123457	
Helmeted Guineafowl (<em class="sci">Numida meleagris</em>)	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0212766	0.0	0.025	0.030303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0454545	0.0	0.0	0.0232558	0.0	0.0	0.0	0.0121951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0434783	0.0	
Indian Peafowl (<em class="sci">Pavo cristatus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0093458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brown Quail (<em class="sci">Synoicus ypsilophorus</em>)	0.015625	0.1724138	0.0	0.0	0.0	0.027027	0.0277778	0.0294118	0.05	0.0	0.0	0.0	0.0	0.0540541	0.0	0.0243902	0.025	0.030303	0.0	0.0	0.0	0.03125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.037037	0.0	0.0	0.0	0.0208333	0.0121951	0.0416667	0.0289855	0.0015	0.0015	0.0204082	0.0	0.037037	0.0	0.0857143	0.0	0.0123457	
Stubble Quail (<em class="sci">Coturnix pectoralis</em>)	0.0	0.0689655	0.1666667	0.0188679	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0204082	0.0	0.027027	0.0	0.0015	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0434783	0.0454545	0.0	0.0185185	0.0	0.0	0.0	0.0	0.0243902	0.0	0.0144928	0.0093458	0.0222222	0.0408163	0.0645161	0.1111111	0.1	0.0571429	0.0	0.0015	
Rock Dove (<em class="sci">Columba livia</em>)	0.09375	0.0015	0.0015	0.0377358	0.0015	0.0810811	0.0555556	0.0	0.1	0.0454545	0.037037	0.0204082	0.0322581	0.027027	0.0425532	0.0243902	0.1	0.0909091	0.0	0.0	0.047619	0.0015	0.1470588	0.0015	0.047619	0.0277778	0.1470588	0.1363636	0.0434783	0.0454545	0.1363636	0.0185185	0.0015	0.0243902	0.0526316	0.0625	0.0243902	0.0208333	0.0144928	0.1308411	0.0666667	0.0408163	0.0645161	0.0	0.15	0.0571429	0.0	0.0617284	
White-headed Pigeon (<em class="sci">Columba leucomela</em>)	0.03125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Spotted Dove (<em class="sci">Spilopelia chinensis</em>)	0.03125	0.0344828	0.0	0.0	0.0	0.0	0.0015	0.0294118	0.0	0.0015	0.0	0.0204082	0.0	0.027027	0.0	0.0	0.025	0.030303	0.0	0.0	0.0238095	0.0015	0.0015	0.0015	0.047619	0.0015	0.0	0.0454545	0.0	0.0	0.0454545	0.0555556	0.0232558	0.0243902	0.0263158	0.0625	0.0121951	0.0	0.0144928	0.0186916	0.0222222	0.0408163	0.0322581	0.0	0.0	0.0285714	0.0434783	0.0617284	
Brown Cuckoo-Dove (<em class="sci">Macropygia phasianella</em>)	0.015625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027027	0.0212766	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0277778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0186916	0.0	0.0	0.0	0.0	0.0	0.0285714	0.0	0.0	
Common Bronzewing (<em class="sci">Phaps chalcoptera</em>)	0.03125	0.0	0.1333333	0.0566038	0.0769231	0.0810811	0.0015	0.0294118	0.1	0.0	0.0	0.0408163	0.0	0.0810811	0.0	0.0243902	0.075	0.030303	0.0015	0.0015	0.0238095	0.0	0.0588235	0.0	0.0	0.0277778	0.0294118	0.0909091	0.0	0.1363636	0.0	0.1111111	0.0697674	0.097561	0.0526316	0.1041667	0.0487805	0.0833333	0.0724638	0.1121495	0.0888889	0.0816327	0.0967742	0.0740741	0.05	0.0571429	0.0869565	0.0987654	
Crested Pigeon (<em class="sci">Ocyphaps lophotes</em>)	0.265625	0.137931	0.1	0.2264151	0.0769231	0.3243243	0.1944444	0.2647059	0.25	0.1818182	0.1481481	0.1428571	0.3548387	0.1891892	0.212766	0.2439024	0.3	0.3636364	0.3684211	0.1142857	0.1666667	0.3125	0.1470588	0.2439024	0.2380952	0.2777778	0.3235294	0.1363636	0.4347826	0.2727273	0.3181818	0.3703704	0.1162791	0.2439024	0.4736842	0.125	0.2073171	0.2291667	0.1884058	0.2336449	0.2444444	0.2040816	0.2580645	0.2222222	0.35	0.2	0.2173913	0.2345679	
Wonga Pigeon (<em class="sci">Leucosarcia melanoleuca</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0322581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0294118	0.0	0.0	0.0277778	0.0	0.0	0.0	0.0454545	0.0	0.0	0.0	0.0015	0.0	0.0208333	0.0	0.0015	0.0144928	0.0280374	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0123457	
Diamond Dove (<em class="sci">Geopelia cuneata</em>)	0.0	0.0344828	0.1333333	0.0188679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Peaceful Dove (<em class="sci">Geopelia placida</em>)	0.046875	0.0344828	0.2	0.0566038	0.0512821	0.027027	0.0	0.0294118	0.1	0.0454545	0.0740741	0.0612245	0.0	0.027027	0.0212766	0.0015	0.0	0.0	0.0015	0.0285714	0.0	0.0	0.0294118	0.0243902	0.0	0.0277778	0.0	0.0454545	0.0	0.1818182	0.0454545	0.0555556	0.0	0.097561	0.0263158	0.0015	0.1219512	0.0833333	0.2753623	0.1401869	0.1111111	0.0612245	0.0322581	0.037037	0.15	0.0571429	0.1304348	0.0617284	
Bar-shouldered Dove (<em class="sci">Geopelia humeralis</em>)	0.03125	0.0344828	0.1	0.0566038	0.0	0.0540541	0.0833333	0.0882353	0.0	0.0	0.0	0.0408163	0.0322581	0.0810811	0.0425532	0.0	0.05	0.0015	0.0015	0.0857143	0.0	0.0	0.1764706	0.097561	0.0	0.0555556	0.0882353	0.0909091	0.0	0.0015	0.0454545	0.0555556	0.1395349	0.0243902	0.0526316	0.0208333	0.0609756	0.0625	0.0289855	0.0560748	0.0444444	0.0015	0.0645161	0.037037	0.05	0.0	0.0434783	0.0493827	
Topknot Pigeon (<em class="sci">Lopholaimus antarcticus</em>)	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0285714	0.0	0.0	
Pheasant Coucal (<em class="sci">Centropus phasianinus</em>)	0.0	0.0	0.0	0.0	0.025641	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pacific Koel (<em class="sci">Eudynamys orientalis</em>)	0.109375	0.0015	0.1333333	0.0377358	0.0769231	0.0	0.0	0.0294118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0416667	0.057971	0.0373832	0.0015	0.0408163	0.2258065	0.1851852	0.0	0.1142857	0.0869565	0.1728395	
Channel-billed Cuckoo (<em class="sci">Scythrops novaehollandiae</em>)	0.03125	0.0	0.0333333	0.0754717	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0208333	0.0731707	0.0833333	0.1014493	0.0560748	0.0222222	0.0204082	0.0967742	0.0740741	0.0	0.0285714	0.0434783	0.0617284	
Horsfield's Bronze-Cuckoo (<em class="sci">Chalcites basalis</em>)	0.015625	0.0	0.1	0.0	0.0	0.0540541	0.0277778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0909091	0.0	0.0	0.0	0.0	0.0	0.0243902	0.0	0.0416667	0.0365854	0.0416667	0.057971	0.0	0.0666667	0.0612245	0.0322581	0.0	0.05	0.0	0.0	0.0	
Black-eared Cuckoo (<em class="sci">Chalcites osculans</em>)	0.0	0.0344828	0.1333333	0.0377358	0.0	0.027027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0243902	0.0	0.0208333	0.0121951	0.0208333	0.0144928	0.0	0.0	0.0204082	0.0322581	0.0	0.0	0.0	0.0	0.0	
Shining Bronze-Cuckoo (<em class="sci">Chalcites lucidus</em>)	0.03125	0.0344828	0.1666667	0.0188679	0.025641	0.0	0.0555556	0.0	0.0	0.0454545	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0555556	0.0882353	0.0454545	0.0	0.0454545	0.0454545	0.037037	0.0697674	0.0487805	0.0526316	0.0416667	0.0609756	0.0625	0.115942	0.046729	0.0444444	0.0	0.0645161	0.037037	0.05	0.0857143	0.0	0.037037	
Pallid Cuckoo (<em class="sci">Heteroscenes pallidus</em>)	0.015625	0.0344828	0.1	0.0015	0.0	0.0	0.0277778	0.0	0.0	0.0454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0454545	0.0	0.0015	0.0	0.0185185	0.0	0.0243902	0.0	0.0416667	0.0609756	0.0208333	0.1304348	0.1028037	0.0222222	0.0612245	0.0967742	0.0740741	0.0	0.0	0.0	0.0	
